F36	179	87	162
G36	143	68	130
H36	117	38	109
I36	73	34	70
B37	236	224	229
C37	238	185	211
D37	234	145	194
E37	203	120	169
F37	188	84	150
G37	150	65	120
H37	125	33	98
I37	86	22	71
B38	237	223	227
C38	243	184	202
D38	241	144	180
E38	212	118	155
F38	197	79	133
G38	156	62	108
H38	130	29	87
I38	90	19	65
B39	239	223	226
C39	246	183	196
D39	232	150	170
E39	229	107	143
F39	212	65	121
G39	161	60	97
H39	134	26	77
I39	92	18	59
B40	239	223	224
C40	248	183	189
D40	235	150	160
E40	232	106	131
F40	215	64	106
G40	162	60	87
H40	137	23	66
I40	94	16	53
